Voix F2S Literature Survey Document (25 Papers),,,,,,,,,,,
No.,Title,Authors,Year,Theme,Problem Solved,      Input → Output,Architecture,Loss / Objective,Key Result,Limitations,Relevance to Project (Voix)
1,Speech2Face: Learning the Face Behind a Voice,"Oh, Dekel, Kim, Mosseri, Freeman, Rubinstein, Matusik",2019,Cross-modal voice-to-face inference,"Reconstructing a canonical face image from speech alone, without needing to model demographic attributes (age, gender, ethnicity) explicitly.","Complex spectrogram of ~6s speech → 4096-D VGG-Face feature → decoded canonical (frontal, neutral) face image.","Voice encoder (CNN on spectrogram, temporal max-pooling, FC layers) predicting a face feature, fed into a fixed pre-trained face decoder (Cole et al.).","L1 loss on decoder activations + normalized feature loss + knowledge-distillation loss on VGG-Face logits (Eq. 1), λ1=0.025, λ2=200.","94% gender agreement with true images; R@10 retrieval of 45.82% (cos, 6s audio) vs 10% random, on AVSpeech test set.","Ethnicity performance biased toward ""white""/""Asian"" due to skewed AVSpeech demographics; language/accent can produce mismatched face predictions; reconstructions resemble ""average"" faces.","Establishes that voice carries reliable cross-modal signal for face-like attribute inference — motivates VOIX's premise that voice alone can drive visually-grounded outputs, and shows self-supervised (no explicit label) training is viable."
2,Seeing Voices and Hearing Faces: Cross-modal biometric matching,"Nagrani, Albanie, Zisserman",2018,Cross-modal biometric matching (face↔voice),"Determining whether static/dynamic face-voice matching is possible ""in the wild"" beyond controlled human-perception studies.",V-F: audio clip + 2+ face images/videos → select matching face. F-V: face image/video + 2+ voices → select matching voice.,"3-stream CNN (2 face sub-nets + 1 voice sub-net, VGG-M) with fusion layer; extended to 5-stream dynamic-fusion (RGB+dynamic image) and N-way ""query pooling"" architecture.",Cross-entropy loss on binary/N-way position classification of the correct match.,"V-F identification accuracy 81.0% (static) / 84.3% (dynamic) on VoxCeleb+VGGFace, exceeding human baseline (81.3% total, but model exceeds humans 63.9% vs 57.1% on GNA-controlled subset).","Some accuracy gains may reflect dataset biases (celebrity recognizability, correlated confounds like profession) rather than pure biometric signal; dynamic gains modest.",Provides direct evidence (beating human performance) that face-voice association is learnable and non-trivial — validates the cross-modal embedding approach VOIX likely builds on for identity consistency between voice and face.
3,ImageBind: One Embedding Space To Bind Them All,"Girdhar, El-Nouby, Liu, Singh, Alwala, Joulin, Misra",2023,Multimodal joint embedding learning,Learning a single embedding space across 6 modalities without needing all pairwise combinations of paired data — only image-paired data is required.,"Modality-specific inputs (image/video, text, audio, depth, thermal, IMU) → normalized embeddings in one shared space; enables cross-modal retrieval/classification/generation.","Separate Transformer (ViT-based) encoders per modality with modality-specific projection heads, aligned via images as the ""binding"" modality; image/text initialized from OpenCLIP.",Symmetric InfoNCE contrastive loss between image embeddings and each other modality's embeddings.,"Emergent zero-shot audio classification 17.6% (Audioset), ESC 66.9% Top-1; emergent zero-shot beats/matches specialist models; scaling image encoder (ViT-B→H) improves all modalities.","No paired data between non-image modalities is used, so emergent alignment is only as good as the image encoder; limited to modalities with natural image pairing; specialist supervised models still outperform on downstream tasks.",Demonstrates a scalable recipe for binding arbitrary modalities via one anchor modality — directly relevant if VOIX unifies voice with other modalities (face/video/text) through a shared embedding rather than pairwise training.
4,Imaginary Voice: Face-Styled Diffusion Model for Text-to-Speech,"Lee, Chung, Chung",2023,Face-conditioned zero-shot TTS,"Enabling multi-speaker TTS for unseen speakers using face images as enrollment instead of clean speech samples, and training face-conditioning end-to-end with the TTS model.",Text transcription + face image → synthesized speech waveform (mel-spectrogram then vocoder).,"Grad-TTS-based diffusion acoustic model (text encoder, duration predictor, diffusion noise predictor) conditioned on a face-image speaker embedding from a jointly-trained visual/audio cross-modal biometric network.","Diffusion (score-matching) loss + prior loss + duration loss + speaker feature binding loss (L_spk, matching audio-network latent features of synthesized vs. target speech).","5-way cross-modal matching accuracy 38.0% (face-conditioned, unseen speakers) vs 19.4% for Grad-TTS speaker-embedding baseline; MOS ~3.28 for unseen speakers with face condition.",Trained/evaluated on short (~34s/speaker) in-the-wild LRS3 data; still far from upper bound (Mel+HiFi-GAN 48.6% matching); speaker verification/AB tests only ~60% correct under gender-matched hard conditions.,"Directly analogous use case to VOIX: using face as a speaker-identity proxy for speech generation, end-to-end trained rather than swapped at inference — a template/baseline for face-conditioned voice synthesis in VOIX."
5,ArcFace: Additive Angular Margin Loss for Deep Face Recognition,"Deng, Guo, Xue, Zafeiriou",2019,Face recognition loss function design,"Improving discriminative power/geodesic-margin properties of face embeddings over Softmax, SphereFace, and CosFace losses.","Face image → normalized 512-D embedding feature (via DCNN, e.g. ResNet50/100).",Standard DCNN backbone (ResNet50/ResNet100) with feature and weight L2 normalization before the loss layer.,"Additive Angular Margin Loss: cosine of (θ_yi + margin m=0.5) scaled by feature scale s=64, softmax cross-entropy on top.","99.83% LFW, 98.02% YTF verification with MS1MV2/ResNet100; state-of-the-art on 10 benchmarks incl. MegaFace, IJB-B/C, Trillion-Pairs.","Requires careful hyperparameter tuning (s, m); the margin curve/geometry interpretation adds negligible but nonzero compute; performance ceiling still shown by gaps vs. human fusion baselines on CALFW/CPLFW.","Provides the face-recognition feature extractor commonly used as ground-truth identity supervision (e.g., in Speech2Face, FACE-TTS, DECA) — a foundational component VOIX likely uses/depends on for identity-consistent face embeddings."
6,Learning a model of facial shape and expression from 4D scans (FLAME),"Li, Bolkart, Black, Li, Romero",2017,3D face/head statistical modeling,"Building a full-head (not just face-region) statistical model that jointly captures identity shape, pose (incl. jaw/eyeballs/neck), and expression, learned from thousands of scans.","Identity shape β, pose θ, expression ψ parameters → 3D head mesh (5023 vertices) via linear blend skinning + blendshapes.","Vertex-based linear model: template mesh + shape blendshapes + pose correctives + expression blendshapes, articulated with linear blend skinning around 4 joints (neck, jaw, eyeballs).",(Model construction/fitting paper — not present in full detail in extracted content; per FLAME's standard training this is a PCA/registration-based fitting objective; not verifiable from the provided excerpt.),(Only referenced via other papers in the set; full FLAME paper content not present in the provided excerpt to verify numeric results.),(Not directly verifiable from the excerpt provided.),FLAME is the underlying 3D geometric prior used by DECA/EMOCA for detailed face reconstruction — relevant to VOIX if 3D animatable head geometry (not just 2D image) is a target output alongside voice.
7,Learning an Animatable Detailed 3D Face Model from In-The-Wild Images (DECA),"Feng, Feng, Black, Bolkart",2021,Animatable detailed 3D face reconstruction,"Recovering person-specific, expression-animatable geometric details (wrinkles) from a single in-the-wild image, without paired 3D or high-quality scan supervision.","Single 2D face image → FLAME coarse parameters (shape, pose, expression, albedo, camera, lighting) + detail code → animatable detailed 3D face mesh with UV displacement map.",ResNet50-based coarse encoder (E_c) + detail encoder (E_d) producing 128-D detail latent; detail decoder (F_d) conditioned on detail code + FLAME expression/jaw-pose to output UV displacement map.,"L_coarse = landmark + eye-closure + photometric + identity (via pretrained face recognition net) + shape-consistency + regularization losses; L_detail adds photometric-detail, ID-MRF, soft-symmetry, detail-regularization, and novel detail-consistency loss (L_dc).","State-of-the-art on NoW benchmark: median 1.09mm, mean 1.38mm, std 1.18mm; Feng et al. benchmark 1.48mm median (LQ).",Rendering quality limited by BFM-derived albedo model (bakes in shading); no explicit facial-hair modeling; fails under extreme occlusion/pose; weak perspective camera unsuitable for selfies without focal-length extension.,Introduces the detail-consistency loss and identity-loss recipe (via a pretrained face-recognition net) for disentangling identity from dynamic detail — relevant to VOIX for separating static identity vs. dynamic (voice-driven) expression signals.
8,EMOCA: Emotion Driven Monocular Face Capture and Animation,"Daněček, Black, Bolkart",2022,Emotion-faithful 3D face reconstruction,"Standard reconstruction losses (landmark, photometric, face-recognition) fail to capture the correct emotional expression from a single image; EMOCA fixes this.","Single 2D image → FLAME shape/pose/expression + emotion-consistent 3D face (built on DECA, only expression branch retrained).","DECA architecture with coarse shape encoder fixed (frozen) + new trainable expression encoder (E_e); emotion recognition network (ResNet-50, trained on AffectNet) used only as a fixed perceptual loss network.","L = λ_emo·L_emo (emotion consistency, L2 distance between emotion-network features of input vs. rendered image) + λ_pho·L_pho + eye/mouth/lip-corner relative keypoint losses + expression regularizer.","On AffectNet: EMOCA V-CCC 0.77, E-ACC 0.69 — on par with image-based EmoNet (0.73/0.68) and outperforming all other 3D reconstruction baselines (DECA 0.69/0.59). Perceptual study: EMOCA (coarse) 0.68 classification consistency vs DECA 0.33.",Detail (wrinkle) stage doesn't measurably improve perceived emotion and sometimes adds artifacts (lip/forehead); jaw-rotation optimization unstable; inherits DECA's occasional image misalignment.,"Demonstrates that a perceptual ""consistency loss"" against a pretrained recognition network (rather than raw geometric/photometric loss) yields far better semantic fidelity — a methodological pattern VOIX could adopt for training voice-driven facial/expressive outputs to be perceptually (not just geometrically) accurate."
9,"ECAPA-TDNN: Emphasized Channel Attention, Propagation and Aggregation in TDNN Based Speaker Verification","Desplanques, Thienpondt, Demuynck",2020,Speaker embedding extraction for verification,"Improving TDNN/x-vector speaker embeddings by incorporating channel attention, multi-scale features, and multi-layer feature aggregation from computer-vision advances.",80-dim MFCC spectrogram (variable-length utterance) → fixed-length (192-D) speaker embedding.,"SE-Res2Blocks (1D Res2Net + Squeeze-Excitation) with dilated convolutions, Multi-layer Feature Aggregation (MFA) across blocks, channel- and context-dependent attentive statistics pooling, then FC + AAM-Softmax output.","AAM-Softmax (ArcFace-style additive angular margin) with margin 0.2, scale 30, plus implicit statistics-pooling attention weighting.","EER 0.87% / MinDCF 0.1066 (VoxCeleb1, C=1024 model) — 18.7% relative EER improvement over best baseline (ResNet34/E-TDNN) with fewer parameters (14.7M).",Improvements from context vector to attention are small (~1.9% relative); summed residual connections slightly degrade MinDCF despite improving EER; evaluated only on VoxCeleb-style data.,"Provides a strong, efficient speaker-embedding backbone (borrowing ArcFace's AAM-Softmax) that VOIX can use/validate for extracting robust voice-identity representations to pair with face/other modalities."
10,High-Fidelity Audio Compression with Improved RVQGAN (Descript Audio Codec),"Kumar, Seetharaman, Luebs, Kumar, Kumar",2023,Universal neural audio compression/tokenization,"Existing codecs (SoundStream, EnCodec) suffer audio artifacts, codebook under-utilization, and are domain-specific; this work builds a universal, high-compression, low-artifact codec.","44.1kHz waveform → discrete tokens (9 codebooks × 10-bit, 86Hz frame rate, 8kbps) → reconstructed waveform via decoder.","Convolutional encoder-decoder with Snake periodic activations, Residual Vector Quantization (factorized + L2-normalized codes), quantizer dropout (p=0.5), multi-period + multi-band multi-scale STFT discriminators.",Multi-scale mel L1 reconstruction loss + HingeGAN adversarial loss + L1 feature-matching loss + VQ codebook/commitment losses (weights 15.0/1.0/2.0/1.0+0.25).,"Outperforms EnCodec at all bitrates in MUSHRA listening tests; at 8kbps: ViSQOL 4.18, SI-SDR 10.75 vs EnCodec's 24kbps ViSQOL 3.16, SI-SDR 9.59 — ~90x compression (91.16 factor) of 44.1kHz audio.","Still falls short of reference MUSHRA at highest bitrate; performs worse on environmental sounds than speech; fails to model some instruments (e.g., glockenspiel, synthesizers) well; enables potential deepfake misuse.","If VOIX involves generating or streaming voice output, this codec (or its RVQ/Snake-activation/discriminator design principles) is a candidate high-fidelity, low-bitrate audio representation/tokenization backbone for efficient voice synthesis or transmission."
